layer,position,p10,p50,p90,mean,std
6,21,0.608486819267273,2.259033441543579,5.695680618286133,2.7876007544000942,2.1538958365426883
6,22,0.5770154476165773,2.2094783782958984,5.434899139404297,2.6712386431296666,2.072726522656928
6,23,0.5826484203338623,2.1769187450408936,5.409351158142089,2.6766912005510597,2.0856012523221414
6,24,0.5426026582717897,2.0291121006011963,5.1896847724914545,2.5679617826806176,2.0507777312718343
6,25,0.5136425971984864,2.062748432159424,5.222429084777832,2.5374323868751527,2.0113050878978602
6,26,0.45991270542144774,2.0523219108581543,5.336899518966675,2.5630548501345847,2.094856283101943
6,27,0.47774782180786146,1.965191125869751,5.3624786853790285,2.5614565076596207,2.1008615225549714
6,28,0.470999813079834,2.002929210662842,5.363476848602295,2.5628374811675814,2.0910204780809365
6,29,0.49806640148162845,2.037592887878418,5.364338493347168,2.554437534544203,2.0576609714915293
6,30,0.43581895828247086,1.9274299144744873,5.169530963897705,2.469498799211449,2.0531736282132
6,31,0.3957774162292481,1.7860114574432373,5.052328968048095,2.356774574385749,2.0805929768978246
6,32,0.3211868286132813,1.78448486328125,5.040797567367553,2.331891987952921,2.031018770000199
